lean_name,spec_theorem,function,verified,date_proven,commit_hash,commit_message
,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/Reduce.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::reduce,verified,2025-10-15,f1c2e1227b0f8401b5a9863dc0f3d5279829dab6,Initial commit
,Curve25519Dalek/Specs/Backend/Serial/U64/Scalar/Scalar52/MulInternal.lean,curve25519_dalek::backend::serial::u64::scalar::Scalar52::mul_internal,verified,2025-10-15,f1c2e1227b0f8401b5a9863dc0f3d5279829dab6,Initial commit
,Curve25519Dalek/Specs/Backend/Serial/U64/Scalar/Scalar52/SquareInternal.lean,curve25519_dalek::backend::serial::u64::scalar::Scalar52::square_internal,verified,2025-10-15,f1c2e1227b0f8401b5a9863dc0f3d5279829dab6,Initial commit
curve25519_dalek.backend.serial.u64.scalar.m,Curve25519Dalek/Specs/Backend/Serial/U64/Scalar/M.lean,curve25519_dalek::backend::serial::u64::scalar::m,verified,2025-10-15,f1c2e1227b0f8401b5a9863dc0f3d5279829dab6,Initial commit
curve25519_dalek.scalar.clamp_integer,Curve25519Dalek/Specs/Scalar/ClampInteger.lean,curve25519_dalek::scalar::clamp_integer,verified,2025-10-15,f1c2e1227b0f8401b5a9863dc0f3d5279829dab6,Initial commit
,Curve25519Dalek/Specs/Scalar/Scalar/AsBytes.lean,curve25519_dalek::scalar::Scalar::as_bytes,verified,2025-10-20,0664093e52da5016ecdb00911efc4bc91524dd2e,feat: added Lean specs
,Curve25519Dalek/Specs/Scalar/Scalar/ToBytes.lean,curve25519_dalek::scalar::Scalar::to_bytes,verified,2025-10-21,9a632d0c207d58c32fe2a367a4515ac89d30943d,feat: add specs and harmonised notation across all specs
,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/Add.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::add,verified,2025-10-22,0ec32e70efa676b8ca5f1f2cb5563b0096b8195a,feat: verify AddAssign and Add (#39)
,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/AddAssign.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::add_assign,verified,2025-10-22,0ec32e70efa676b8ca5f1f2cb5563b0096b8195a,feat: verify AddAssign and Add (#39)
,Curve25519Dalek/Specs/Edwards/CompressedEdwardsY/AsBytes.lean,curve25519_dalek::edwards::CompressedEdwardsY::as_bytes,verified,2025-10-22,12ccfd27544c330b8f7a8f64923f5b4e45046678,feat: verify AsBytes
,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/AsBytes.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::as_bytes,verified,2025-10-24,916a5c018a8f985a70ce681f4b12a23ccbb8bc73,"feat: verify 3, specify 1 (#46)"
,Curve25519Dalek/Specs/Backend/Serial/U64/Scalar/Scalar52/Zero.lean,curve25519_dalek::backend::serial::u64::scalar::Scalar52::ZERO,verified,2025-10-24,916a5c018a8f985a70ce681f4b12a23ccbb8bc73,"feat: verify 3, specify 1 (#46)"
,Curve25519Dalek/Specs/Scalar/Scalar/Zero.lean,curve25519_dalek::scalar::Scalar::ZERO,verified,2025-10-24,916a5c018a8f985a70ce681f4b12a23ccbb8bc73,"feat: verify 3, specify 1 (#46)"
,Curve25519Dalek/Specs/Scalar/Scalar/One.lean,curve25519_dalek::scalar::Scalar::ONE,verified,2025-10-26,9676adc277fbf8b80d76ce1389e30b843f572d5f,feat: update repo text and add verification of ONE (#56)
curve25519_dalek.backend.serial.u64.constants.RR,Curve25519Dalek/Specs/Backend/Serial/U64/Constants/RR.lean,curve25519_dalek::backend::serial::u64::constants::RR,verified,2025-10-28,7021bc75f41e50df576644cca054e8173eae5263,feat: verify square and RR (#62)
,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/Square.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::square,verified,2025-10-28,7021bc75f41e50df576644cca054e8173eae5263,feat: verify square and RR (#62)
curve25519_dalek.backend.serial.u64.constants.L,,curve25519_dalek::backend::serial::u64::constants::L,verified,2025-10-29,33f8c429b71e613fea4417d801d1e6b4f88dbb66,"feat: add formal Lean specs and proofs to three extracted constants (R, L, and LFACTOR) (#67)"
curve25519_dalek.backend.serial.u64.constants.LFACTOR,,curve25519_dalek::backend::serial::u64::constants::LFACTOR,verified,2025-10-29,33f8c429b71e613fea4417d801d1e6b4f88dbb66,"feat: add formal Lean specs and proofs to three extracted constants (R, L, and LFACTOR) (#67)"
curve25519_dalek.backend.serial.u64.constants.R,Curve25519Dalek/Specs/Backend/Serial/U64/Constants/R.lean,curve25519_dalek::backend::serial::u64::constants::R,verified,2025-10-29,33f8c429b71e613fea4417d801d1e6b4f88dbb66,"feat: add formal Lean specs and proofs to three extracted constants (R, L, and LFACTOR) (#67)"
,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/Square2.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::square2,verified,2025-10-29,180f70cf94f272d76907b9b6e34948cda651dd73,feat: several more proofs and conversion updates (#70)
,Curve25519Dalek/Specs/Backend/Serial/U64/Field/FieldElement51/SubAssign.lean,curve25519_dalek::backend::serial::u64::field::FieldElement51::sub_assign,verified,2025-10-29,180f70cf94f272d76907b9b6e34948cda651dd73,feat: several more proofs and conversion updates (#70)
,,curve25519_dalek::edwards::EdwardsPoint::as_projective,verified,2025-10-30,7d1f783123f010b8f25d0934a9a3f032c1a25b5f,feat: add two more formal Lean specs and one proof (#72)
,,curve25519_dalek::ristretto::CompressedRistretto::as_bytes,verified,2025-10-30,837a84cd422213799c516832db5d16cd4502e239,feat: add two more formal Lean specs and proofs (#73)
,,curve25519_dalek::ristretto::CompressedRistretto::to_bytes,verified,2025-10-30,837a84cd422213799c516832db5d16cd4502e239,feat: add two more formal Lean specs and proofs (#73)
curve25519_dalek.backend.serial.u64.constants.EDWARDS_D,Curve25519Dalek/Specs/Backend/Serial/U64/Constants/EDWARDS_D.lean,curve25519_dalek::backend::serial::u64::constants::EDWARDS_D,verified,2025-11-03,326f2b2bf463d850429b4292846ef1b34cf7e6fe,Add formal Lean specs and proofs for four constants. (#93)
curve25519_dalek.backend.serial.u64.constants.EDWARDS_D2,Curve25519Dalek/Specs/Backend/Serial/U64/Constants/EDWARDS_D2.lean,curve25519_dalek::backend::serial::u64::constants::EDWARDS_D2,verified,2025-11-03,326f2b2bf463d850429b4292846ef1b34cf7e6fe,Add formal Lean specs and proofs for four constants. (#93)
curve25519_dalek.backend.serial.u64.constants.EDWARDS_D_MINUS_ONE_SQUARED,Curve25519Dalek/Specs/Backend/Serial/U64/Constants/EDWARDS_D_MINUS_ONE_SQUARED.lean,curve25519_dalek::backend::serial::u64::constants::EDWARDS_D_MINUS_ONE_SQUARED,verified,2025-11-03,326f2b2bf463d850429b4292846ef1b34cf7e6fe,Add formal Lean specs and proofs for four constants. (#93)
curve25519_dalek.backend.serial.u64.constants.ONE_MINUS_EDWARDS_D_SQUARED,Curve25519Dalek/Specs/Backend/Serial/U64/Constants/ONE_MINUS_EDWARDS_D_SQUARED.lean,curve25519_dalek::backend::serial::u64::constants::ONE_MINUS_EDWARDS_D_SQUARED,verified,2025-11-03,326f2b2bf463d850429b4292846ef1b34cf7e6fe,Add formal Lean specs and proofs for four constants. (#93)
,Curve25519Dalek/Specs/Scalar/Scalar/CtEq.lean,curve25519_dalek::scalar::Scalar::ct_eq,verified,2025-11-03,529d7f53b6fe5e80662f7649ba937c71e6400e74,Verify ct_eq_spec and pack (#94)
,Curve25519Dalek/Specs/Backend/Serial/U64/Scalar/Scalar52/Pack.lean,curve25519_dalek::scalar::backend::serial::u64::scalar::Scalar52::pack,verified,2025-11-03,529d7f53b6fe5e80662f7649ba937c71e6400e74,Verify ct_eq_spec and pack (#94)
curve25519_dalek.backend.serial.u64.constants.INVSQRT_A_MINUS_D,Curve25519Dalek/Specs/Backend/Serial/U64/Constants/INVSQRT_A_MINUS_D.lean,curve25519_dalek::backend::serial::u64::constants::INVSQRT_A_MINUS_D,verified,2025-11-04,c76f47d9dc0c6cb7b3ebfbfa318e9045a9fd05ce,Verify two more constants (#96)
curve25519_dalek.backend.serial.u64.constants.SQRT_M1,Curve25519Dalek/Specs/Backend/Serial/U64/Constants/SQRT_M1.lean,curve25519_dalek::backend::serial::u64::constants::SQRT_M1,verified,2025-11-04,c76f47d9dc0c6cb7b3ebfbfa318e9045a9fd05ce,Verify two more constants (#96)
